NAME,CORE MATCHES,% CORE FAMILIES,% NON-CORE,GENOME LENGTH,N50,NO. CONTIGS,NON-ATCG,% GC CONTENT
7468_7_61_Tan_Zan_IB5348_2009,3270,99.6,24.3,4727964,204288,53,7,52.0
7468_7_57_Tan_Zan_IB5343_2009,3285,100,24.3,4746606,185425,55,14,52.1
7468_7_59_Tan_Zan_IB5345_2009,3284,100,27.4,4951721,172044,128,991,51.9
7468_7_60_Tan_Zan_IB5347_2009,3284,100,24.3,4745939,172166,51,25,52.1
7468_7_64_Tan_Zan_IB5351_2010,3281,99.9,24.0,4721716,172160,55,298,52.0
7468_7_66_Tan_Zan_IB5353_2010,3282,99.9,23.9,4720676,204290,48,6,52.0
7468_7_65_Tan_Zan_IB5352_2010,3286,100,24.9,4788964,204309,52,19,52.1
7468_7_67_Tan_Zan_IB5354_2010,3283,100,23.9,4722100,204286,51,48,52.0
7468_7_68_Tan_Zan_IB5355_2010,3279,99.8,24.0,4720733,172155,60,43,52.0
7468_7_70_Tan_Zan_IB5357_2010,3283,100,23.9,4722199,204308,48,10,52.0
7468_7_71_Tan_Zan_IB5358_2010,3283,100,23.9,4723524,206309,47,9,52.0
7468_7_69_Tan_Zan_IB5356_2010,3282,99.9,24.0,4723696,161306,71,2,52.0
7468_7_73_Tan_Zan_IB5360_2009,3285,100,24.2,4741078,204283,55,36,52.1
7468_7_77_Tan_Zan_IB5366_2009,3285,100,24.3,4745802,204288,55,3,52.1
7468_7_72_Tan_Zan_IB5359_2010,3284,100,24.2,4744161,204290,52,17,52.1
7468_7_78_Tan_Zan_IB5367_2009,3284,100,24.1,4737398,163044,51,1,52.1
7468_7_79_Tan_Zan_IB5368_2009,3283,100,26.1,4859793,172180,103,2803,51.9
7468_7_80_Tan_Zan_IB5369_2009,3284,100,24.3,4746621,204293,58,7,52.1
7468_7_82_Tan_Zan_IB5371_2010,3284,100,24.1,4737870,172138,53,14,52.1
7468_7_81_Tan_Zan_IB5370_2010,3284,100,24.2,4738739,204321,50,10,52.1
7468_7_86_Tan_Zan_IB5375_2010,3283,100,27.4,4952975,171979,56,21,51.8
7468_7_85_Tan_Zan_IB5374_2010,3284,100,24.1,4737226,163030,49,9,52.1
7468_7_87_Tan_Zan_IB5376_2010,3283,100,27.2,4935735,206515,55,17,51.8
7468_7_89_Tan_Zan_IB5379_2010,3283,100,23.9,4722944,204296,47,8,52.0
7468_7_90_Tan_Zan_IB5380_2010,3283,100,23.9,4723192,204336,44,17,52.0
7468_7_88_Tan_Zan_IB5378_2010,3283,100,21.7,4590779,206305,44,7,52.1
7468_7_91_Tan_Zan_IB5381_2010,3266,99.5,24.3,4722404,153695,60,62,52.1
7468_7_92_Tan_Zan_IB5382_2010,3283,100,23.9,4721694,204298,52,30,52.0
7468_7_93_Tan_Zan_IB5383_2009,3270,99.5,24.6,4740573,144764,80,827,52.1
7468_7_94_Tan_Zan_IB5384_2009,3284,100,27.5,4958487,172263,73,5004,51.8
7468_7_95_Tan_Zan_IB5385_2010,3285,100,24.9,4788589,202210,56,32,52.1
8447_8_2_FijMDUST74_2008,3284,100,24.0,4729315,206280,42,45,52.0
8447_8_3_FijMDUST75_2008,3284,100,24.0,4728092,204319,44,26,52.0
8447_8_5_FijMDUST77_2008,3284,100,23.9,4721866,206280,40,2,52.0
8447_8_4_FijMDUST76_2008,3284,100,24.0,4731236,206298,45,5,52.0
8447_8_7_FijMDUST79_2008,3284,100,24.0,4727965,204319,41,20,52.0
8447_8_6_FijMDUST78_2008,3285,100,23.9,4723867,217830,40,15,52.0
8447_8_1_FijMDUST73_2008,3255,99.1,24.0,4700947,217869,41,33,52.1
8447_8_11_FijMDUST83_2008,3284,100,24.1,4733896,206292,44,32,52.0
8447_8_8_FijMDUST80_2008,3284,100,23.9,4725640,186170,44,30,52.0
8447_8_9_FijMDUST81_2008,3284,100,23.9,4725778,206280,40,6,52.0
8447_8_10_FijMDUST82_2008,3284,100,23.9,4723916,204310,42,20,52.0
8447_8_12_FijMDUST84_2008,3287,100,24.0,4731923,206280,40,50,52.0
8447_8_15_FijMDUST87_2008,3286,100,23.9,4725835,206280,42,23,52.0
8447_8_14_FijMDUST86_2008,3283,100,24.0,4727385,206280,42,115,52.0
8447_8_13_FijMDUST85_2008,3284,100,23.9,4725359,204315,43,12,52.0
8447_8_16_FijMDUST88_2008,3284,100,24.0,4728754,204319,45,6,52.0
8447_8_17_FijMDUST89_2008,3284,100,23.9,4725184,206292,46,1,52.0
8447_8_18_FijMDUST90_2008,3284,100,24.0,4728717,217869,46,17,52.0
8447_8_20_FijMDUST92_2008,3285,100,24.0,4728912,185566,43,19,52.0
8447_8_22_FijMDUST94_2008,3286,100,24.0,4728722,206291,39,24,52.0
8447_8_19_FijMDUST91_2008,3284,100,24.0,4731651,172502,48,39,52.0
8447_8_21_FijMDUST93_2008,3285,100,24.0,4726667,206292,44,40,52.0
8447_8_23_FijMDUST95_2008,3285,100,23.8,4717396,189030,78,19,52.0
8447_8_24_FijMDUST96_2008,3284,100,23.9,4723724,204310,47,3,52.0
8447_8_26_FijMDUST98_2008,3283,100,24.0,4728740,179219,48,25,52.0
8447_8_28_FijMDUST100_2008,3285,100,24.0,4728060,206298,45,13,52.0
8447_8_27_FijMDUST99_2008,3284,100,23.9,4723402,217869,39,12,52.0
8447_8_30_FijMDUST102_2008,3283,100,24.1,4731170,204318,44,10,52.0
8447_8_32_FijMDUST104_2008,3285,100,23.9,4723695,206286,43,28,52.0
8447_8_29_FijMDUST101_2008,3284,100,23.9,4726031,184954,44,25,52.0
8490_5_1_FijMDUST1_2011,3284,100,23.9,4725657,206292,42,2,52.0
8447_8_31_FijMDUST103_2008,3284,100,23.9,4724762,206292,46,3,52.0
8490_5_3_FijMDUST3_2011,3282,99.9,23.9,4720811,205801,42,31,52.0
8447_8_33_FijMDUST105_2008,3284,100,23.9,4723460,172502,44,23,52.0
8490_5_2_FijMDUST2_2011,3284,100,23.9,4723468,206292,44,36,52.0
8490_5_5_FijMDUST5_2011,3285,100,23.9,4722416,206292,46,27,52.0
8490_5_4_FijMDUST4_2011,3284,100,24.0,4729564,206292,40,32,52.0
8490_5_6_FijMDUST6_2011,3284,100,23.8,4719128,196766,44,43,52.0
8490_5_7_FijMDUST7_2011,3284,100,24.0,4730860,172024,43,48,52.0
8490_5_10_FijMDUST10_2011,3284,100,23.9,4724261,185608,46,41,52.0
8490_5_8_FijMDUST8_2011,3284,100,23.9,4724316,186660,42,33,52.0
8490_5_9_FijMDUST9_2011,3284,100,23.9,4722685,185732,46,45,52.0
8490_5_13_FijMDUST13_2011,3284,100,23.9,4724936,185394,42,57,52.0
8490_5_12_FijMDUST12_2011,3284,100,24.0,4725983,185866,44,45,52.0
8490_5_11_FijMDUST11_2011,3284,100,24.0,4726756,185457,46,45,52.0
8490_5_14_FijMDUST14_2011,3285,100,23.9,4721827,185786,45,29,52.0
8490_5_16_FijMDUST16_2011,3284,100,24.0,4727428,184954,44,44,52.0
8490_5_15_FijMDUST15_2011,3284,100,23.9,4725743,206280,43,44,52.0
8490_5_18_FijMDUST18_2011,3283,100,23.9,4720477,185350,47,98,52.0
8490_5_17_FijMDUST17_2011,3284,100,24.1,4729919,172032,46,42,52.0
8490_5_19_FijMDUST19_2011,3287,100,24.0,4736281,153621,50,70,52.0
8490_5_21_FijMDUST21_2011,3284,100,24.0,4728124,172032,45,42,52.0
8490_5_22_FijMDUST22_2011,3284,100,23.9,4722403,184954,46,36,52.0
8490_5_25_FijMDUST25_2011,3284,100,23.9,4724799,207006,42,37,52.0
8490_5_24_FijMDUST24_2011,3284,100,23.9,4724360,206292,42,26,52.0
8490_5_23_FijMDUST23_2011,3284,100,24.0,4726198,173610,45,43,52.0
8490_5_20_FijMDUST20_2011,3283,100,24.0,4727126,204319,43,24,52.0
8490_5_26_FijMDUST26_2011,3285,100,23.9,4725963,186875,44,3,52.0
8490_5_27_FijMDUST27_2011,3284,100,23.9,4723881,202263,41,44,52.0
8490_5_30_FijMDUST30_2009,3284,100,24.0,4729082,157577,48,46,52.0
8490_5_31_FijMDUST31_2000,3283,100,24.0,4723116,218056,40,1,52.0
8490_5_28_FijMDUST28_2011,3282,99.9,24.0,4724504,206292,44,42,52.0
8490_5_33_FijMDUST33_1997,3285,100,24.1,4733367,193255,41,39,52.0
8490_5_29_FijMDUST29_2011,3284,100,23.9,4721957,172024,44,27,52.0
8490_5_32_FijMDUST32_2000,3283,100,24.0,4725059,206280,39,5,52.0
8490_5_34_FijMDUST34_1997,3283,100,23.9,4719453,206280,38,49,52.0
8490_5_35_FijMDUST35_1996,3284,100,24.0,4726520,185952,42,32,52.0
8490_5_36_FijMDUST36_1996,3283,100,23.9,4722539,206280,39,43,52.0
8490_6_37_FijMDUST37_1996,3284,100,24.1,4729929,250358,39,28,52.0
8490_6_38_FijMDUST38_1996,3283,100,24.1,4729915,206280,42,36,52.0
8490_6_39_FijMDUST39_1996,3283,100,24.0,4724787,221517,36,30,52.0
8490_6_40_FijMDUST40_1996,3283,100,24.0,4725268,204071,45,25,52.0
8490_6_44_FijMDUST44_1996,3271,99.6,23.8,4687308,206115,41,33,52.1
8490_6_42_FijMDUST42_1996,3284,100,23.9,4722087,206280,42,26,52.0
8490_6_43_FijMDUST43_1996,3283,100,24.0,4725694,206280,40,26,52.0
8490_6_41_FijMDUST41_1996,3283,100,24.0,4726312,206392,41,25,52.0
8490_6_45_FijMDUST45_1996,3285,100,24.0,4727953,204314,41,5,52.1
8490_6_48_FijMDUST48_1996,3272,99.6,23.6,4688591,207007,41,44,52.1
8490_6_49_FijMDUST49_1996,3284,100,23.9,4723933,193493,44,32,52.0
8490_6_46_FijMDUST46_1996,3274,99.7,24.6,4754455,206109,43,43,52.0
8490_6_50_FijMDUST50_1996,3285,100,24.0,4728537,204315,44,30,52.0
8490_6_47_FijMDUST47_1996,3284,100,23.9,4723701,206280,44,2,52.0
8490_6_51_FijMDUST51_1995,3284,100,23.9,4723809,185653,45,28,52.0
8490_6_52_FijMDUST52_1995,3284,100,24.0,4730301,204315,44,30,52.0
8490_6_55_FijMDUST55_1995,3283,100,24.0,4727903,204315,43,3,52.0
8490_6_53_FijMDUST53_1995,3283,100,24.0,4724418,217871,39,34,52.0
8490_6_54_FijMDUST54_1995,3284,100,23.9,4724312,206280,42,31,52.0
8490_6_56_FijMDUST56_1994,3284,100,23.6,4704478,206319,38,23,52.1
8490_6_59_FijMDUST59_1994,3284,100,24.0,4728349,193229,45,4,52.0
8490_6_58_FijMDUST58_1994,3284,100,24.0,4728065,204314,42,49,52.0
8490_6_57_FijMDUST57_1994,3283,100,23.6,4703999,206325,44,24,52.1
8490_6_61_FijMDUST61_1994,3284,100,23.9,4725844,206286,43,31,52.0
8490_6_60_FijMDUST60_1994,3284,100,23.8,4718899,149382,48,21,52.0
8490_6_62_FijMDUST62_1994,3285,100,23.9,4726406,217869,44,4,52.0
8490_6_63_FijMDUST63_1994,3284,100,23.6,4704269,217635,39,39,52.1
8490_6_64_FijMDUST64_1994,3283,100,23.6,4704944,217635,37,19,52.1
8490_6_65_FijMDUST65_1994,3284,100,23.6,4703765,221920,41,33,52.1
8490_6_66_FijMDUST66_1994,3283,100,23.6,4705121,206325,44,21,52.1
8490_6_67_FijMDUST67_1994,3284,100,24.4,4753262,185834,44,5,52.1
8490_6_68_FijMDUST68_1994,3292,99.9,23.8,4720933,193635,39,18,52.1
8490_6_71_FijMDUST71_2008,3284,100,24.0,4729727,187034,45,45,52.0
8490_6_69_FijMDUST69_1996,3284,100,24.0,4726506,207349,43,33,52.0
8490_6_70_FijMDUST70_2008,3283,100,24.0,4724895,214586,46,36,52.0
8490_6_72_FijMDUST72_2008,3283,100,24.0,4722802,185480,44,30,52.0
8525_3_30_KenKe451_2008,3286,100,27.2,4940008,204294,50,28,51.8
8525_3_31_KenKe452_2008,3283,100,27.2,4932645,206315,54,8,51.8
8525_2_54_KenKe378_2008,3284,100,27.1,4931358,206210,53,9,51.8
8525_3_32_KenKe45_2008,3288,100,27.2,4941098,206303,49,4,51.8
8525_3_34_KenKe455_2008,3284,100,27.2,4937216,210501,48,19,51.8
8525_3_41_KenKe462_2008,3285,100,23.2,4680789,206291,43,15,52.1
8525_3_40_KenKe461_2008,3284,100,23.9,4723389,217881,43,91,52.0
8525_3_37_KenKe458_2008,3284,100,27.1,4932506,204282,51,58,51.8
8525_3_33_KenKe454_2008,3284,100,27.1,4932877,206309,51,24,51.8
8525_3_42_KenKe463_2008,3284,100,27.2,4933788,206282,53,8,51.8
8525_3_45_KenKe466_2008,3284,100,27.2,4935785,206310,52,4,51.8
8525_3_46_KenKe467_2008,3284,100,27.1,4928335,286146,47,49,51.8
8525_3_51_KenKe472_2008,3284,100,27.0,4923828,206099,51,33,51.8
8525_3_47_KenKe468_2008,3283,100,27.2,4937209,206427,57,53,51.8
8525_3_49_KenKe470_2008,3278,99.8,27.2,4933021,206063,50,25,51.8
8525_3_53_KenKe474_2008,3284,100,23.9,4724275,223060,39,2,52.0
8525_3_48_KenKe469_2008,3288,100,27.3,4949165,223891,56,23,51.8
8525_3_54_KenKe475_2008,3284,100,27.1,4930804,204280,51,13,51.8
8525_3_55_KenKe476_2008,3284,100,27.2,4934014,222238,50,21,51.8
8525_3_59_KenKe480_2008,3285,100,27.2,4935411,206288,49,7,51.8
8525_3_56_KenKe477_2008,3284,100,27.1,4932435,204280,51,39,51.8
8525_3_71_KenKe492_2001,3282,99.9,27.3,4937702,207637,50,22,51.8
8525_3_58_KenKe479_2008,3285,100,27.2,4936267,204284,54,29,51.8
8525_3_61_KenKe482_2008,3284,100,27.2,4934757,223403,48,8,51.8
8525_3_60_KenKe481_2008,3284,100,27.1,4931347,206099,55,38,51.8
8616_4_37_IndBCR43_2009,3284,100,23.9,4725247,186804,43,11,52.0
8615_4_29_KenKe062_2004,3284,100,27.2,4935176,185360,52,21,51.8
8616_4_38_IndBCR48_2009,3283,100,26.9,4914437,185425,55,4,51.8
8616_4_41_IndBCR62_2009,3284,100,24.4,4754932,217881,41,8,52.0
8616_4_39_IndBCR49_2009,3284,100,26.0,4855535,204297,51,8,52.0
8616_4_40_IndBCR52_2009,3279,99.8,24.7,4762913,165851,53,18,52.0
8616_4_42_IndBCR89_2010,3279,99.8,24.7,4762640,165845,48,19,52.0
8616_4_44_IndBCR108_2010,3282,99.9,24.5,4756274,204310,43,8,52.0
8616_4_48_IndBCR175_2011,3284,100,24.4,4755078,217881,42,8,52.0
8616_4_45_IndBCR110_2010,3283,100,24.4,4752137,206277,42,15,52.0
8616_4_46_IndBCR162_2011,3283,100,23.9,4724444,204325,39,12,52.0
8616_4_47_IndBCR170_2011,3283,100,24.4,4754334,203480,39,1,52.0
8616_4_49_IndBCR177_2011,3283,99.9,26.1,4855254,210492,45,24,52.0
8616_4_50_IndBCR191_2011,3284,100,24.4,4755173,204332,42,17,52.0
8616_4_52_IndBCR232_2011,3284,100,25.2,4802241,206200,42,1,52.1
8616_4_53_IndSP2_2009,3285,100,24.0,4727799,192192,45,11,52.0
8616_4_51_IndBCR211_2011,3283,99.9,24.5,4755650,206321,42,31,52.0
8616_4_54_IndSP9_2009,3283,100,23.9,4723407,206354,42,1,52.0
8616_4_55_IndSP11_2009,3283,100,24.4,4753052,217881,41,18,52.0
8616_4_56_IndSP47_2009,3284,100,24.4,4754342,204287,47,34,52.1
8616_4_57_IndSP66_2009,3275,99.7,24.2,4732600,206274,43,2,52.1
8616_4_58_IndSP80_2011,3284,100,24.4,4754672,206315,39,8,52.0
9472_4_78_S.Typhi_Quailes_1958,3286,100,24.1,4733645,186909,42,36,52.1
9475_4_48_IndD7558_2006,3285,100,24.0,4728549,204881,43,33,52.0
9475_4_51_IndC3891_2005,3270,99.5,24.1,4713514,185425,49,21,52.0
9475_4_52_IndC3495_2005,3283,100,24.3,4746674,204557,48,18,52.1
9475_4_50_IndC3551_2005,3283,100,27.2,4935062,161326,56,20,51.8
9475_4_49_IndD7649_2007,3284,100,23.9,4722941,206315,39,16,52.0
9475_4_54_IndE2889_2006,3284,100,27.1,4933049,161326,62,9,51.8
9475_4_53_IndC3634_2005,3283,100,26.0,4853577,204546,48,21,52.0
9475_4_56_IndE1240_2004,3266,99.4,24.3,4722949,206316,43,2,52.1
9475_6_1_Mal1010996_2011,3281,99.9,23.8,4702892,185156,42,29,52.1
9475_4_57_IndE1303_2004,3283,99.9,24.3,4740595,217794,40,19,52.1
9475_6_3_Mal1019695_2011,3284,100,24.3,4745760,206275,46,11,52.1
9475_4_55_IndE2990_2006,3284,100,27.1,4929583,206315,49,3,51.8
9475_6_2_Mal1014063_2011,3284,100,24.3,4750560,204344,49,25,52.1
9475_6_4_Mal1019515_2011,3284,100,24.3,4745948,204314,53,13,52.1
9475_6_5_Mal1021678_2011,3284,100,24.3,4745992,206383,48,2,52.1
9475_6_10_Mal1013486_2011,3283,100,24.2,4735537,206174,46,19,52.0
9475_6_8_Mal1030208_2012,3285,100,24.3,4748730,206240,48,10,52.1
9475_6_9_Mal1008634_2011,3284,100,24.3,4745683,204305,52,1,52.1
9475_6_13_Mal1021701_2011,3285,100,23.6,4702630,206267,39,31,52.1
9475_6_6_Mal1025912_2011,3284,100,24.3,4746167,204298,49,2,52.1
9475_6_14_Mal1025691_2011,3285,100,23.6,4702070,206252,43,12,52.1
9475_6_12_Mal1021106_2011,3284,100,24.3,4746302,204300,50,2,52.1
9475_6_17_Mal1007914_2011,3294,100,24.4,4763425,206297,48,20,52.1
9475_6_16_Mal1031809_2012,3284,100,24.3,4749328,204306,44,4,52.1
9475_6_20_Mal1018216_2011,3285,100,24.1,4736135,206322,44,11,52.0
9475_6_24_Mal1031785_2012,3284,100,24.3,4745395,206309,51,7,52.1
9475_6_21_Mal1023407_2011,3285,100,24.3,4749511,204310,49,12,52.1
9475_6_19_Mal1016889_2011,3285,100,24.3,4748806,204302,46,12,52.1
9475_6_18_Mal1013305_2011,3283,99.9,24.0,4725657,206321,45,30,52.0
9475_6_25_Mal1007917_2011,3284,100,24.3,4747700,206297,47,7,52.1
9475_6_26_Mal1012911_2011,3284,100,24.3,4747269,161303,51,36,52.1
9475_6_29_Mal1022981_2011,3286,100,24.1,4737709,185646,45,19,52.0
9475_6_28_Mal1020791_2011,3284,100,24.3,4748016,207350,46,3,52.1
9475_6_27_Mal1016653_2011,3284,100,24.3,4746259,206297,47,18,52.1
9475_6_31_Mal1022553_2011,3284,100,24.3,4745814,206297,46,235,52.1
9475_6_32_Mal1030630_2012,3283,100,24.3,4749908,217881,43,90,52.1
9475_6_33_Mal1014451_2011,3285,100,24.3,4746776,185660,50,10,52.1
9475_6_36_Mal1021854_2011,3284,100,24.3,4745675,204308,45,17,52.1
9475_6_34_Mal1018211_2011,3284,100,24.2,4743877,204293,48,24,52.1
9475_6_35_Mal1016605_2011,3284,100,24.3,4747127,185317,49,13,52.1
9475_6_37_Mal1022075_2011,3284,100,24.1,4735377,204639,44,6,52.0
9475_6_39_Mal1032927_2012,3284,100,24.3,4747121,204303,49,19,52.1
9475_6_41_Mal1014383_2011,3284,100,24.3,4749472,187382,51,23,52.1
9475_6_42_Mal1017142_2011,3284,100,24.1,4735028,185725,44,7,52.0
9475_6_44_Mal1023267_2011,3282,99.9,23.6,4701411,204302,42,12,52.1
9475_6_43_Mal1020184_2011,3294,100,25.2,4812358,221860,47,7,52.1
9475_6_46_Mal1024341_2011,3284,100,23.9,4723979,207350,43,6,52.0
9475_6_45_Mal1021624_2011,3284,100,24.3,4747387,204304,45,15,52.1
9475_6_47_Mal1032463_2012,3284,100,24.3,4746084,206297,46,21,52.1
9475_6_48_MalA53009_2008,3284,100,23.5,4700872,206316,47,10,52.1
9475_6_50_Mal1017137_2011,3284,100,24.3,4748858,204305,46,8,52.1
9475_6_49_Mal1013803_2011,3282,99.9,24.0,4725945,207350,42,29,52.0
9475_6_51_Mal1019839_2011,3284,100,24.3,4746401,206267,49,1,52.1
9475_6_52_Mal1022401_2011,3284,100,24.3,4744988,217876,46,17,52.1
9475_6_53_Mal1020976_2011,3284,100,24.3,4746719,184285,51,6,52.1
9475_6_54_Mal1023999_2011,3285,100,24.3,4746383,206248,48,12,52.1
9475_6_55_Mal1032281_2012,3285,100,24.3,4746529,206279,46,11,52.1
9475_6_57_Mal1012752_2011,3285,100,23.5,4700968,172059,44,6,52.1
9475_6_56_MalA53789_2009,3283,100,24.0,4727164,206327,53,2,52.0
9475_6_59_Mal1019833_2011,3284,100,24.3,4746782,204300,48,25,52.1
9475_6_58_Mal1020366_2011,3285,100,24.3,4746785,204299,50,1,52.1
9475_6_65_Mal1012727_2011,3284,100,24.3,4749130,204304,46,41,52.1
9475_6_62_Mal1028143_2012,3284,100,24.3,4746964,204296,47,2,52.1
9475_6_66_Mal1020059_2011,3284,100,24.3,4748310,206265,45,25,52.1
9475_6_63_Mal1032249_2012,3284,100,24.3,4748538,204351,47,12,52.1
9475_6_61_Mal1029975_2012,3284,100,24.3,4746640,217377,48,14,52.1
9475_6_67_Mal1019806_2011,3284,100,24.3,4748851,204310,46,16,52.1
9475_6_68_Mal1018617_2011,3284,100,24.3,4747554,187283,49,3,52.1
9475_6_69_Mal1029451_2012,3285,100,24.3,4746989,204302,47,8,52.1
9475_6_71_Mal1032168_2012,3284,100,24.3,4747510,206297,46,30,52.1
9475_6_73_Mal1014152_2011,3284,100,24.3,4746384,204298,49,2,52.1
9475_6_72_MalA55865_2009,3282,99.9,26.6,4894498,204298,41,19,51.9
9475_6_76_Mal1021788_2011,3285,100,24.3,4746334,206297,44,9,52.1
9475_6_77_Mal1028963_2012,3284,100,24.3,4747228,222650,49,32,52.1
9475_6_80_MalA32420_2004,3282,99.9,24.2,4739576,206295,41,2,52.0
9475_6_78_Mal1026460_2012,3284,100,24.3,4746347,204307,46,18,52.1
9475_6_81_MalA33112_2005,3287,100,24.5,4761537,207392,68,11,52.0
9475_6_79_Mal1031581_2012,3284,100,24.3,4746535,161326,51,61,52.1
9475_6_92_MalA39483_2006,3285,100,24.1,4736025,206308,40,11,52.0
9475_6_93_MalA40566_2006,3285,100,23.6,4702593,190426,45,7,52.1
9475_6_85_MalA40201_2006,3285,100,23.6,4704059,204296,47,4,52.1
9475_6_90_MalD28995_2005,3285,100,23.5,4701368,206528,46,15,52.1
9475_6_94_MalD41342_2007,3284,100,24.2,4742475,157145,64,3,52.0
9870_8_3_Cam003956_2008,3284,100,27.1,4932035,204290,57,0,51.8
9870_8_1_Cam001909_2008,3284,100,27.1,4932075,207392,61,100,51.8
9870_8_2_Cam002399_2008,3284,100,27.2,4933663,161354,60,6,51.8
9870_8_4_Cam004254_2008,3284,100,27.1,4931873,155113,63,1,51.8
9870_8_8_Cam006312_2008,3284,100,27.1,4932264,161303,61,16,51.8
9870_8_7_Cam016955_2008,3284,100,27.1,4932945,161340,62,9,51.8
9870_8_5_Cam216507_2008,3283,100,25.5,4820242,161354,52,1,51.9
9870_8_10_Cam006300_2008,3283,100,25.5,4819679,206290,45,1,51.9
9870_8_9_Cam008425_2008,3283,100,25.5,4820476,206270,44,10,51.9
9870_8_11_Cam000156_2009,3284,100,27.1,4932808,206086,55,1,51.8
9870_8_13_Cam002960_2009,3284,100,27.1,4932516,149382,73,17,51.8
9870_8_15_Cam006046_2009,3284,100,23.9,4723730,206076,44,1,52.0
9870_8_14_Cam004002_2009,3284,100,27.1,4932272,204292,54,18,51.8
9870_8_12_Cam000892_2009,3283,100,27.2,4935844,164524,67,3,51.8
9870_8_16_Cam007146_2009,3284,100,27.1,4933485,155112,69,25,51.8
9870_8_17_Cam010587_2009,3283,100,24.2,4740885,187538,51,22,52.1
9870_8_19_Cam011935_2009,3284,100,23.9,4721408,161276,49,1,52.0
9870_8_18_Cam008924_2009,3285,100,27.1,4934292,171965,54,18,51.8
9870_8_21_Cam005196_2010,3283,100,27.5,4953755,150826,78,1,51.8
9870_8_22_Cam011361_2010,3285,100,23.9,4723558,161291,61,8,52.0
9870_8_20_Cam012898_2009,3284,100,27.1,4931854,204290,54,2,51.8
9870_8_24_Cam011021_2010,3284,100,27.1,4933667,161300,54,8,51.8
9870_8_23_Cam005872_2010,3285,100,27.2,4936660,206297,78,118,51.8
9870_8_26_Cam013365_2010,3284,100,27.1,4931806,204330,51,38,51.8
9870_8_25_Cam006551_2010,3285,100,27.2,4934627,171963,62,8,51.8
9870_8_28_Cam012990_2010,3284,100,27.2,4934027,206105,50,3,51.8
9870_8_27_Cam006866_2010,3284,100,27.3,4942688,171963,79,316,51.8
9870_8_30_Cam100510_2010,3278,99.8,24.1,4727531,150423,62,8,52.0
9870_8_32_Cam008154_2010,3285,100,27.2,4938648,204290,54,8,51.8
9870_8_34_Cam002605_2010,3284,100,27.1,4932314,161340,56,13,51.8
9870_8_35_Cam009987_2010,3284,100,27.1,4931762,217861,50,0,51.8
9870_8_33_Cam007462_2010,3285,100,27.1,4932528,204290,58,11,51.8
9870_8_37_Cam002948_2010,3282,99.9,24.0,4719784,143355,69,124,52.0
9870_8_36_Cam010162_2010,3284,100,27.2,4934246,204307,56,1,51.8
9870_8_38_Cam010972_2010,3284,100,27.2,4936618,155104,60,2,51.8
9870_8_41_Cam000112_2011,3284,100,27.1,4932355,172028,61,2,51.8
9870_8_40_Cam011712_2010,3284,100,27.2,4933918,161324,73,2,51.8
9870_8_43_Cam009945_2011,3289,100,27.1,4940191,204290,58,46,51.8
9870_8_42_Cam000483_2011,3284,100,27.2,4935006,161354,58,2,51.8
9870_8_39_Cam011187_2010,3282,99.9,27.6,4958720,144383,120,317,51.8
9870_8_44_Cam021515_2011,3285,100,27.2,4935410,153722,66,11,51.8
